station_name;location
Echallens;POINT(6.63254022131576 46.6395090292333)
Sur Roche;POINT(6.6389182598339 46.6404526806237)
Grésaley;POINT(6.64217016116286 46.6432526996403)
Sugnens;POINT(6.66575992052712 46.6548521155367)
Fey;POINT(6.68508268229123 46.6743207139051)
Bercher;POINT(6.70365085921656 46.6928827116716)
Lausanne-Flon;POINT(6.63033934886936 46.5207986885036)
Cheseaux;POINT(6.60595907205496 46.5843477798193)
Les Ripes;POINT(6.6080611298201 46.5921881863512)
Etagnières;POINT(6.61302881334197 46.6000583198456)
Assens;POINT(6.62052974596541 46.6131479861526)
Lausanne-Chauderon;POINT(6.62606336811636 46.5232278570208)
Union-Prilly;POINT(6.60984877723574 46.5347170320326)
Prilly-Chasseur;POINT(6.60743230912112 46.5396481647786)
Cery-Fleur-de-Lys;POINT(6.60500685785366 46.5445788497255)
Jouxtens-Mézery;POINT(6.6016920744548 46.5483414395997)
Romanel-sur-Lausanne;POINT(6.60317429467381 46.5624689024914)
Vernand-Camarès;POINT(6.60480024533829 46.57094237976)
Bel-Air LEB;POINT(6.60552788071853 46.5786797561872)
Le Locle;POINT(6.74415589538315 47.0570741109091)
Le Crêt-du-Locle;POINT(6.78533466801292 47.0776515241925)
La Chaux-de-Fonds Les Forges;POINT(6.81292193039207 47.091438778681)
S. Antonino;POINT(8.97079202413447 46.1595177249185)
Cadenazzo;POINT(8.94432765586063 46.1526728710689)
Locarno;POINT(8.80352571820814 46.1724210697487)
Minusio;POINT(8.81927318514094 46.1739637936336)
Tenero;POINT(8.8529779746058 46.1773228007768)
Gordola;POINT(8.86948002637737 46.1783242428305)
Riazzino;POINT(8.88807515276123 46.1749528559381)
Im Holz;POINT(7.47479164867063 47.2309207122853)
Crémines;POINT(7.43548137183208 47.2856091738452)
Grandval;POINT(7.42188087842862 47.2835860367369)
Moutier;POINT(7.37878869424341 47.2797284555006)
Gänsbrunnen;POINT(7.46491916369678 47.2656547361246)
Crémines-Zoo;POINT(7.45678941037436 47.2724147332431)
Corcelles BE;POINT(7.45046527077328 47.2856640168462)
Liestal;POINT(7.73295847820967 47.483058164081)
Regensdorf-Watt;POINT(8.47252348542254 47.4365041955526)
Zürich Affoltern;POINT(8.51060307032167 47.4203206108434)
Fleurier;POINT(6.58164167731046 46.9048440129872)
Buttes;POINT(6.55368610566477 46.8884239588364)
Bôle;POINT(6.83915273669201 46.9698241806702)
Champ-du-Moulin;POINT(6.77498607593842 46.9599111252936)
Noiraigue;POINT(6.7217968279583 46.9549201846007)
Travers;POINT(6.67614444521299 46.9424346630974)
Môtiers NE;POINT(6.61022606965513 46.9118217805362)
La Presta Mines d'asphalte;POINT(6.65436029957006 46.9310995071618)
Couvet;POINT(6.63548669544808 46.9231794220849)
Steffisburg;POINT(7.61483001833151 46.7732874091021)
Lädeli;POINT(7.60903588474813 46.7816110220167)
Heimberg;POINT(7.60596364647602 46.791132690555)
Brenzikofen;POINT(7.6107426837882 46.8183474976304)
Oberdiessbach;POINT(7.61780344192236 46.8392626698304)
Stalden i.E.;POINT(7.6228699401255 46.8708934567925)
Schwäbis;POINT(7.61928566214136 46.7626672444235)
St. Gallen Güterbahnhof;POINT(9.36246647121795 47.4172996912245)
St. Gallen Riethüsli;POINT(9.36727245798866 47.4113789154789)
Lustmühle;POINT(9.35915168781909 47.4003379912207)
Sternen bei Teufen;POINT(9.374836272682 47.3894832855606)
Teufen AR Stofel;POINT(9.37998361926072 47.3909976055907)
Zweibrücken;POINT(9.44441977459958 47.3601613687937)
Strahlholz;POINT(9.43186132692584 47.3665503123174)
Steigbach;POINT(9.4049118683985 47.3770143384275)
La Corbatière;POINT(6.83492167170322 47.0695512248243)
La Sagne;POINT(6.80207926491124 47.0398865276548)
Les Ponts-de-Martel;POINT(6.73527155722197 46.999080579082)
Petit-Martel;POINT(6.75518720707367 47.0100950720445)
Le Stand;POINT(6.74525184002993 47.0050107996558)
La Chaux-de-Fonds-Grenier;POINT(6.83368199661096 47.0997497779439)
Le Reymond;POINT(6.84407550444967 47.0870778901493)
La Sagne-Eglise;POINT(6.81851843461291 47.0508987258012)
Les Coeudres-Est;POINT(6.78952980039034 47.0287985779036)
Les Coeudres;POINT(6.78016037197567 47.022852626813)
Petit-Martel-Est;POINT(6.76680242369895 47.0145847559735)
Balsthal;POINT(7.6939176959564 47.3128895898625)
Thalbrücke;POINT(7.68827627597135 47.308425045281)
Klus;POINT(7.69379193181661 47.3042647004657)
Herisau Wilen;POINT(9.27925552643837 47.3756760322801)
Waldstatt;POINT(9.28610967205716 47.3575142940823)
Zürchersmühle;POINT(9.29282008723047 47.3301777662746)
Urnäsch;POINT(9.2854628850525 47.3178287761196)
Jakobsbad;POINT(9.32817777681833 47.3200820123)
Gonten;POINT(9.34732985867843 47.3281806893937)
Gontenbad;POINT(9.37243777087306 47.3316633476568)
Steinegg;POINT(9.43078334858475 47.3201124607795)
Weissbad;POINT(9.43569713318957 47.3104472322524)
Schwende;POINT(9.43558933535546 47.3000552921818)
Wasserauen;POINT(9.42861840874972 47.2855604244631)
Murgenthal;POINT(7.83178214262942 47.2650817120057)
Rothrist;POINT(7.87634756388079 47.3057388278855)
Aarburg-Oftringen;POINT(7.90762690207819 47.3207884125064)
Les Deurres;POINT(6.89966325423872 46.9856922790793)
Corcelles-Peseux;POINT(6.88381697262465 46.9833512798998)
Altstätten Stadt;POINT(9.53749422120016 47.376837927288)
Alter Zoll;POINT(9.52204319831115 47.3685824426194)
Warmesberg;POINT(9.51322174221987 47.365345599307)
Kreuzstrasse;POINT(9.50523571934294 47.3656254845811)
Stoss AR;POINT(9.49512068924234 47.360788127958)
Rietli;POINT(9.48712568321257 47.3606968528148)
Schachen (Gais);POINT(9.47736099607283 47.3615487480108)
Hebrig;POINT(9.46482949785762 47.3621511513108)
Thayngen;POINT(8.70429781191048 47.7454996580134)
Herblingen;POINT(8.66412515239906 47.7170048831462)
Wauwil;POINT(8.01819154726301 47.183765305994)
Nebikon;POINT(7.97670734743659 47.1944364592656)
Dagmersellen;POINT(7.9788453378131 47.217663826106)
Reiden;POINT(7.96806555440216 47.2425215798552)
Brittnau-Wikon;POINT(7.95714204054575 47.2628200349821)
St. Erhard-Knutwil;POINT(8.07291691437919 47.1801813196527)
Le Locle Le Chalet;POINT(6.73883786890042 47.0558378670779)
Les Frêtes;POINT(6.72578534782035 47.0585795968698)
Les Brenets;POINT(6.70738785079902 47.0672077817368)
Rüschlikon;POINT(8.55457560348544 47.3082423137312)
Oberrieden Dorf;POINT(8.5769795866745 47.2776868097469)
Horgen Oberdorf;POINT(8.58791208368375 47.2599059259114)
Bassersdorf;POINT(8.62421300432008 47.4387159099396)
Zürich Wipkingen;POINT(8.52829089826844 47.390669202532)
Kilchberg ZH;POINT(8.54753281165696 47.3256477027794)
Seebleiche;POINT(9.5169946664137 47.4773694338468)
Sandbüchel;POINT(9.52166590589177 47.4753657856012)
Wartensee;POINT(9.53361349917222 47.4717590262239)
Wienacht-Tobel;POINT(9.54067425730639 47.4662391121491)
Schwendi bei Heiden;POINT(9.53064905873422 47.4594674687715)
Heiden;POINT(9.53648810808181 47.4460005424428)
Rorschach Hafen;POINT(9.49315337876985 47.4786869427211)
Ennenda;POINT(9.0763620363389 47.0334091427268)
Mitlödi;POINT(9.08181481011426 47.0107076023174)
Schwanden GL;POINT(9.07809578483749 46.9987619948837)
Nidfurn-Haslen;POINT(9.05941981007804 46.9860660940634)
Leuggelbach;POINT(9.04747221679759 46.9771673623589)
Luchsingen-Hätzingen;POINT(9.03954907599055 46.9653429960109)
Diesbach-Betschwanden;POINT(9.02492450316305 46.9469361642316)
Rüti GL;POINT(9.0135697979702 46.9347984175584)
Linthal Braunwaldbahn;POINT(9.00319425643717 46.9287929262537)
Linthal;POINT(8.99779538157887 46.9255660001121)
Näfels-Mollis;POINT(9.07028044186456 47.0990526578686)
Netstal;POINT(9.05949167530078 47.0657514910461)
Glarus;POINT(9.0715380832625 47.0406211530459)
Saland;POINT(8.85345408170645 47.395461251628)
Bauma;POINT(8.87983760160471 47.3687041245842)
Steg;POINT(8.9318141239511 47.3543193718794)
Fischenthal;POINT(8.92365742117016 47.3337029097627)
Gibswil;POINT(8.91692005653833 47.3146131807884)
Wald ZH;POINT(8.91461138625782 47.2728657753621)
Tann-Dürnten;POINT(8.85421764969806 47.2679894404836)
Walzenhausen;POINT(9.6013554547571 47.4512674506342)
Ruderbach;POINT(9.59516606244866 47.4615871172976)
Göschenen;POINT(8.58906192724759 46.6664182207644)
Gelterkinden;POINT(7.84472686587538 47.465449638111)
Sissach;POINT(7.80980036762395 47.4631540231603)
Basel Bad Bf;POINT(7.60691586067732 47.5673090682292)
Müllheim (Baden);POINT(7.59933407967829 47.8097429261213)
Neuenburg(Baden);POINT(7.56275468130385 47.8114804117176)
Freiburg(Breisgau) Hbf;POINT(7.84116953734977 47.9976987706158)
Auggen;POINT(7.58678461515739 47.7899507947126)
Schliengen;POINT(7.56893509045946 47.7615950908109)
Bad Bellingen;POINT(7.55759835157229 47.7308010563144)
Rheinweiler;POINT(7.53164602301046 47.7095342082981)
Kleinkems;POINT(7.52466611325188 47.6861300435097)
Istein;POINT(7.54294682928626 47.66088821151)
Efringen-Kirchen;POINT(7.56392249117337 47.6556181269164)
Eimeldingen;POINT(7.59559708809584 47.6279459958422)
Haltingen;POINT(7.61168591483665 47.6128387709584)
Weil am Rhein;POINT(7.60841604720201 47.5939652604671)
Freiburg(Breisgau) St. Georgen;POINT(7.80300910407506 47.9754947414899)
Ebringen;POINT(7.7681814205049 47.9603619114819)
Schallstadt;POINT(7.75388922433257 47.9559463314961)
Norsingen;POINT(7.72619416411931 47.9392491411268)
Bad Krozingen;POINT(7.69762773808033 47.9197231361733)
Heitersheim;POINT(7.64619020490449 47.8798597544108)
Buggingen;POINT(7.6281610171497 47.8552542988738)
Riegel-Malterdingen;POINT(7.77084941689911 48.1519665950926)
Köndringen;POINT(7.80292825569948 48.1374550668564)
Teningen-Mundingen;POINT(7.82440697414577 48.1287797575189)
Emmendingen;POINT(7.84751164325654 48.1194553136699)
Kollmarsreute;POINT(7.88707344837467 48.0982696447784)
Denzlingen;POINT(7.88143202838961 48.0686238493883)
Gundelfingen (Breisgau);POINT(7.87418262404576 48.0440240811432)
Freiburg(Breisgau) Zähringen;POINT(7.86373521729 48.0243634409176)
Freiburg(Breisgau) Herdern;POINT(7.85097015710088 48.0082352766337)
Orschweier;POINT(7.79027997649732 48.2741893631627)
Ringsheim/Europa-Park;POINT(7.77304130619266 48.2487249207313)
Herbolzheim (Breisgau);POINT(7.76764243133435 48.2238642278644)
Kenzingen;POINT(7.76409408596159 48.1944525911259)
Offenburg;POINT(7.94672158324851 48.4764776857793)
Friesenheim (Baden);POINT(7.86294469983986 48.3815886099353)
Lahr (Schwarzw);POINT(7.83473759991458 48.3404342856541)
Bad Zurzach;POINT(8.29692081365841 47.5873130877409)
Rietheim;POINT(8.27817297367623 47.6003682381872)
Koblenz Dorf;POINT(8.24086593992155 47.6097199024389)
Rekingen AG;POINT(8.32930507965543 47.5700304517922)
Hunzenschwil;POINT(8.1265912526128 47.3883824874664)
Oberentfelden;POINT(8.04773713696181 47.3559746700075)
Kölliken;POINT(8.02650994679511 47.3368503778924)
Kölliken Oberdorf;POINT(8.01732018143729 47.3243994315253)
Safenwil;POINT(7.98333691423432 47.3218906215483)
Walterswil-Striegel;POINT(7.96175938110676 47.3193147048229)
Küngoldingen;POINT(7.94156525351694 47.3016391899108)
Dinhard;POINT(8.75241157853462 47.5520085032002)
Thalheim-Altikon;POINT(8.75763977348892 47.5696183137014)
Ossingen;POINT(8.72411464708092 47.6146131121712)
Stammheim;POINT(8.78851486980841 47.6347746028549)
Holderbank AG;POINT(8.16697950779244 47.428172975241)
Schinznach Bad;POINT(8.16667408059579 47.4521118078505)
Genova P. Principe;POINT(8.92207638626989 44.4175048995715)
Tortona;POINT(8.8620779084352 44.9002020515999)
Pavia;POINT(9.14481366099833 45.1889689506822)
Milano Rogoredo;POINT(9.23901100170422 45.4336681298541)
Milano Lambrate;POINT(9.23722335428857 45.4850710059601)
Sestri Levante;POINT(9.3975456830677 44.2761695607344)
Rapallo;POINT(9.23155498484499 44.3512383781151)
S. Margherita Ligure-Portofino;POINT(9.21682261418338 44.3366229481871)
Interlaken West;POINT(7.85146423050722 46.6826287974932)
Bregenz;POINT(9.73962414330803 47.5030033151091)
Morteau;POINT(6.60487211056103 47.0537325145894)
Le Locle-Col-des-Roches;POINT(6.72690824192565 47.0500479477272)
St-Maurice;POINT(7.00161305584764 46.2168379233038)
Bex;POINT(6.99978947582062 46.2528772783323)
Aigle;POINT(6.96272498719269 46.3182716779354)
Montreux;POINT(6.9098591327149 46.437151822501)
Villeneuve VD;POINT(6.9270439041025 46.4004407679626)
Clarens;POINT(6.89419251415767 46.4430946071332)
La Tour-de-Peilz;POINT(6.85890668979255 46.4559312852781)
Roche VD;POINT(6.92635220133363 46.3594894607665)
Burier;POINT(6.87596569704035 46.4482011698121)
Mulhouse;POINT(7.34304472908332 47.7419537660523)
Sion;POINT(7.35635776159582 46.2268505388377)
Sierre/Siders;POINT(7.5305949941279 46.2910531549288)
Martigny;POINT(7.07746679844925 46.1061488827833)
Venezia S. Lucia;POINT(12.3204570054841 45.4413960454327)
Venezia Mestre;POINT(12.2319010847633 45.4819030006003)
Padova;POINT(11.8806238760123 45.4178244858623)
Vicenza;POINT(11.5407732376769 45.5410957141897)
Verona Porta Nuova;POINT(10.9827397831042 45.4286563954424)
Peschiera del Garda;POINT(10.7011808235634 45.4375826467718)
Brescia;POINT(10.2128656182009 45.5321606798443)
Stresa;POINT(8.53163263112583 45.8845278726758)
Leuk;POINT(7.64265084268456 46.3123649313684)
Delémont;POINT(7.35178533679902 47.3622606784445)
Laufen;POINT(7.50228009636851 47.4180716529658)
Tecknau;POINT(7.88676802117803 47.4463103751715)
Aesch BL;POINT(7.60311598702496 47.4673018469379)
Dornach-Arlesheim;POINT(7.61121879088885 47.4885398901035)
Münchenstein;POINT(7.61683326141538 47.5122692233471)
Basel Dreispitz;POINT(7.61050912181429 47.5366731462686)
Lausen;POINT(7.75846164912938 47.4707813939199)
Itingen;POINT(7.78688434472287 47.4674415190554)
Zwingen;POINT(7.52948108317544 47.4335085110807)
Grellingen;POINT(7.59095279807629 47.4410976522326)
Duggingen;POINT(7.60234343588051 47.4527921433712)
Glovelier;POINT(7.21121696112043 47.3346891772121)
Bassecourt;POINT(7.24909891665702 47.3365764277722)
Courfaivre;POINT(7.29323314657196 47.3352553594624)
Courtételle;POINT(7.31920344143947 47.3432421438778)
Porrentruy;POINT(7.0800808959264 47.4209162646763)
Courgenay;POINT(7.12401749647881 47.4052142794489)
St-Ursanne;POINT(7.16595983710018 47.3677002399791)
Kempten;POINT(8.80536726454084 47.3329662411938)
Suberg-Grossaffoltern;POINT(7.3396131646975 47.0572332293203)
Schüpfen;POINT(7.38736760520794 47.0415394205606)
Münchenbuchsee;POINT(7.45334886283571 47.020948067839)
Bern  Europaplatz;POINT(7.40722935614259 46.9438513888775)
Bern Weissenbühl;POINT(7.42978605292997 46.9359454572756)
Wabern bei Bern;POINT(7.44498554753939 46.9287867915975)
Kehrsatz Nord;POINT(7.46620375455325 46.915761332463)
Kehrsatz;POINT(7.47219551749916 46.9088393103111)
Belp Steinbach;POINT(7.49318914569195 46.8951337697754)
Belp;POINT(7.49851615532752 46.8888782634718)
Studen BE;POINT(7.30150663033985 47.110712930709)
Busswil BE;POINT(7.31799071580574 47.0979396928657)
Lustenau;POINT(9.66711213356381 47.45034410924)
Luzern Verkehrshaus;POINT(8.33603346113442 47.0541425752258)
Meggen Zentrum;POINT(8.3735111747931 47.0446675332645)
Meggen;POINT(8.38306026626462 47.0501458797074)
Merlischachen;POINT(8.40859038664285 47.0675198388515)
Küssnacht am Rigi;POINT(8.43225201122986 47.0825086660121)
Immensee;POINT(8.4621030281253 47.0921971576306)
Ulm Hbf;POINT(9.98222316897112 48.3994366762708)
Biberach (Riss);POINT(9.79312780163764 48.1018451889666)
Friedrichshafen Stadt;POINT(9.47390248222849 47.6532219079591)
Kressbronn;POINT(9.59885813826691 47.5942378724603)
Wasserburg (Bodensee);POINT(9.63905774723685 47.5718971542968)
Lindau-Reutin;POINT(9.70329627321318 47.5523844026254)
Aulendorf;POINT(9.64404339706441 47.9530525382949)
Ravensburg;POINT(9.60609855945792 47.7844824928065)
Lindau-Insel;POINT(9.68047008184053 47.5443383536194)
Langenargen;POINT(9.54483345707244 47.5994899195922)
Nonnenhorn;POINT(9.61267422733859 47.5751152416653)
Salem;POINT(9.29720386581758 47.7576758736194)
Überlingen;POINT(9.16285183190596 47.7691005639212)
Radolfzell;POINT(8.96898641041314 47.7358702167294)
Erzingen (Baden);POINT(8.43012300400619 47.6595389753013)
Lauchringen;POINT(8.32219042260421 47.6290902129662)
Tiengen (Hochrhein);POINT(8.27200154767347 47.6354707316418)
Waldshut;POINT(8.2195219687679 47.6213708024252)
Bad Säckingen;POINT(7.94862601165111 47.5558583132543)
Rheinfelden (Baden);POINT(7.78420736517583 47.5569252971634)
Bad Schussenried;POINT(9.66849553910155 47.9940318262284)
Enzisweiler;POINT(9.66543228398227 47.5641389932847)
Lindau-Aeschach;POINT(9.68465623106511 47.5596229720635)
Biberach (Riss) Süd;POINT(9.80323384858539 48.0870194569086)
Dogern;POINT(8.16735680021182 47.6088841351987)
Albbruck;POINT(8.13177453180289 47.5922326266031)
Laupheim West;POINT(9.84785316875382 48.2300102210044)
Meckenbeuren;POINT(9.55838903471169 47.6997590626746)
Laufenburg (Baden) Ost;POINT(8.07368946552364 47.5661634992305)
Wehr-Brennet;POINT(7.9105284604463 47.5809206316323)
Schwörstadt;POINT(7.87032885147635 47.5910209604456)
Wyhlen;POINT(7.69091732290703 47.5463272432746)
Beuggen;POINT(7.81091427857642 47.5819083322361)
Laufenburg (Baden);POINT(8.05831030785737 47.5634055451763)
Murg (Baden);POINT(8.01872155328071 47.5534514572709)
Grenzach;POINT(7.65950323741699 47.5508989778822)
Herten (Baden);POINT(7.73965991023014 47.5495044591957)
Friedrichshafen-Hafen;POINT(9.48282275300104 47.651206820544)
Markdorf (Baden);POINT(9.38864337860083 47.7168175249455)
Erbach (Württ);POINT(9.89483505811981 48.3259044534061)
Eriskirch;POINT(9.52666952202501 47.6284000532543)
Lauchringen West;POINT(8.30810483894725 47.6327769644128)
Griessen (Baden);POINT(8.39600498951059 47.6284303236082)
Gottmadingen;POINT(8.77542641611697 47.7373987224978)
Friedrichshafen Flughafen;POINT(9.52371406473985 47.6722131602585)
Löwental;POINT(9.49924395639703 47.6613964349422)
Uhldingen-Mühlhofen;POINT(9.24841636273026 47.7369999861884)
Überlingen Therme;POINT(9.14564011105984 47.7692696208351)
Ludwigshafen (Bodensee);POINT(9.05319448515823 47.8156489335117)
Bietingen;POINT(8.73891888296527 47.7440197154383)
Bermatingen-Ahausen;POINT(9.34515593569055 47.7304868608833)
Überlingen-Nussdorf;POINT(9.18814839031029 47.7548615848723)
Sipplingen;POINT(9.09552310135183 47.7955874926616)
Friedrichshafen Landratsamt;POINT(9.45198358929292 47.6571489870168)
Friedrichshafen-Manzell;POINT(9.42915739792026 47.6643186236652)
Friedrichshafen-Fischbach;POINT(9.41738048454382 47.6724793153959)
Friedrichshafen-Kluftern;POINT(9.40951124265383 47.6881498301594)
La Sarraz;POINT(6.5171426399017 46.6589954824139)
Arnex;POINT(6.51893028731735 46.6982430577701)
Croy-Romainmôtier;POINT(6.47848813322066 46.6961790794523)
Bretonnières;POINT(6.4747511416382 46.7144071319939)
Le Day;POINT(6.39902316317638 46.720030158464)
Vallorbe;POINT(6.36996266373107 46.7121836269105)
St-Saphorin;POINT(6.79560241171183 46.4727493141983)
Rivaz;POINT(6.78364583527854 46.4739618924855)
Epesses;POINT(6.74489251391623 46.4893209405831)
Villette VD;POINT(6.70594156319138 46.4961176207185)
Veytaux-Chillon;POINT(6.92743916282757 46.4182296421167)
Territet;POINT(6.92308233369898 46.4259268581273)
Quartino;POINT(8.88783260763449 46.1516087309598)
Magadino-Vira;POINT(8.85091184945204 46.1454163964189)
S. Nazzaro;POINT(8.80757712014008 46.1353951634433)
Gerra (Gambarogno);POINT(8.78585585656704 46.1225329464966)
Ranzo-S. Abbondio;POINT(8.77737576028377 46.1174208443602)
Luino (I);POINT(8.73740073013489 45.9967036950063)
Porto Valtravaglia;POINT(8.67372814278764 45.9581421185969)
Calde;POINT(8.66346938224156 45.9456820597456)
Laveno-Mombello;POINT(8.62452741466956 45.9031406277418)
Sangiano;POINT(8.63081562165928 45.8743654399927)
Besozzo;POINT(8.66326276972619 45.8425653503428)
Travedona-Biandronno;POINT(8.70052488771665 45.799381232758)
Ternate-Varano Borghi;POINT(8.69994098278189 45.7823625790867)
Mornago-Cimbro;POINT(8.73420272772298 45.729946084399)
Besnate;POINT(8.7605772644684 45.696156092718)
Gallarate;POINT(8.79854006838058 45.6597527163104)
Maccagno;POINT(8.73558613326072 46.0454088007465)
Pino-Tronzano;POINT(8.73695157249277 46.0989298800916)
Colmegna;POINT(8.75188157251691 46.0247605302576)
Wutöschingen;POINT(8.36365665612494 47.6620861588296)
Eggingen;POINT(8.39665177651524 47.6937310494206)
Stühlingen;POINT(8.45136816047858 47.7470278810841)
Les Combes;POINT(7.1718258359063 46.4774695561181)
Les Granges-Gérignoz;POINT(7.15494649171535 46.4741660484174)
Château-d'Oex La Palaz;POINT(7.14383433164924 46.4758982497485)
Château-d'Oex;POINT(7.13141063126814 46.4746671551848)
Oeschseite;POINT(7.35228839335819 46.5313675611972)
Saanenmöser;POINT(7.31172047512171 46.5176090809492)
Schönried;POINT(7.2911041393483 46.5045396253137)
Gruben;POINT(7.28012672657483 46.4905393342637)
Gstaad;POINT(7.28441169048067 46.4747970710009)
Saanen;POINT(7.26027395879302 46.4885725735741)
Rougemont;POINT(7.20896218975697 46.4886220527025)
Flendruz;POINT(7.18607311631442 46.4820904186069)
La Chaudanne-Les Moulins;POINT(7.0967356612963 46.4660549008716)
Rossinière;POINT(7.08324296572695 46.464811208452)
La Tine;POINT(7.04657373582408 46.4671686311613)
Montbovon;POINT(7.04053705711396 46.4839831887324)
Les Sciernes;POINT(7.03422190066572 46.4914608423205)
Allières;POINT(7.00789227968451 46.4698229298139)
Les Cases;POINT(6.99771436751402 46.4559189080679)
Jor;POINT(6.96512348900163 46.4546687953478)
Les Avants;POINT(6.94332137705301 46.4538085526002)
Chamby;POINT(6.91349730961609 46.4491790993198)
Sonzier;POINT(6.92121383790775 46.4390523460013)
Chernex;POINT(6.91008371153596 46.4459172027673)
Fontanivent;POINT(6.90233125063293 46.4527316828146)
Montreux-Collège;POINT(6.91270679216596 46.4360993868345)
Sendy-Sollard;POINT(6.92907409664489 46.4466413978083)
Planchamp;POINT(6.90100174401225 46.4511782296917)
Châtelard VD;POINT(6.90113649130489 46.4467775701594)
Belmont-sur-Montreux;POINT(6.90612214113244 46.4420422862494)
Vuarennes;POINT(6.91097304366736 46.4391204417044)
Yverdon-Champ Pittet;POINT(6.66158275445539 46.7816663854223)
Yvonand;POINT(6.745817778659 46.8011015731238)
Cheyres;POINT(6.78599043817042 46.8168536844394)
Steinerberg;POINT(8.58517222206681 47.0521350841343)
Sattel;POINT(8.63384294416718 47.0815544010602)
Biberegg;POINT(8.66944317888179 47.0936099154245)
Rothenthurm;POINT(8.67466239068325 47.1057911029283)
Altmatt;POINT(8.69588059769711 47.1315140886009)
Lenk im Simmental;POINT(7.44352129362607 46.4585799435407)
Boden;POINT(7.43538255715082 46.4707695364824)
Matten i.S.;POINT(7.42163833330187 46.4937119775504)
St. Stephan;POINT(7.40051894096928 46.505127014556)
Stöckli;POINT(7.38840066778483 46.5168116498047)
Blankenburg;POINT(7.38531944635987 46.5411002300468)
Chêne-Bourg;POINT(6.19591407740869 46.1967077262492)
Genève-Eaux-Vives;POINT(6.16495813271362 46.2006373620281)
Genève-Champel;POINT(6.1530374888917 46.1912480506401)
Les Chevalleyres;POINT(6.89811815194983 46.4755889321261)
Tusinge;POINT(6.8962496561586 46.4738505343817)
Prélaz-sur-Blonay;POINT(6.89792950574013 46.4688206224558)
Blonay;POINT(6.89594422896195 46.4656898398736)
Château-de-Blonay;POINT(6.89174909658453 46.4683503978285)
La Chiésaz;POINT(6.88212813989027 46.4695073905992)
St-Légier-Village;POINT(6.8765675682808 46.4710170126352)
St-Légier-Gare;POINT(6.87193226141409 46.4705282461499)
Château-d'Hauteville;POINT(6.86529371146353 46.4684679543662)
Hauteville;POINT(6.86089196657073 46.4662590864639)
Vevey Vignerons;POINT(6.85282509531821 46.4690804816913)
Bois-de-Chexbres;POINT(6.90153175002995 46.4732813671814)
Fayaux;POINT(6.90763131080998 46.4699776052314)
Ondallaz-L'Alliaz;POINT(6.9139644335639 46.4731576343937)
Lally;POINT(6.9140273156338 46.4792078382538)
Les Pléiades;POINT(6.90993998109048 46.4833584581612)
Kerzers Papiliorama;POINT(7.19905377217176 46.9892587352048)
Le Noirmont;POINT(6.95647271281435 47.2232585997882)
Les Emibois;POINT(6.98485049264364 47.2318966980394)
Muriaux;POINT(6.98523676821586 47.2442169723651)
Saignelégier;POINT(6.99419297159978 47.254656467031)
La Chaux-de-Fonds-Est;POINT(6.83695186424561 47.1034003366504)
La Cibourg;POINT(6.88366425902633 47.1221261509616)
La Ferrière;POINT(6.89405776686504 47.1426967732801)
La Chaux-d'Abel;POINT(6.89877392210732 47.1528080503803)
La Large-Journée;POINT(6.89655508335524 47.1612804911997)
Les Bois;POINT(6.90618502320234 47.1769024013258)
Le Boéchet;POINT(6.922112153192 47.1942472298109)
Le Creux-des-Biches;POINT(6.94066236381165 47.2034637514624)
Le Bémont JU;POINT(7.01408167199296 47.2632284851519)
Pré-Petitjean;POINT(7.05843149757611 47.2770529693685)
La Combe;POINT(7.09951145552461 47.2843294876786)
Bollement;POINT(7.12386478288048 47.29692390858)
Combe-Tabeillon;POINT(7.15786601638914 47.3135595435442)
Büren an der Aare;POINT(7.37174590241493 47.1380467731109)
Dotzigen;POINT(7.33886756301158 47.1198644860611)
Göttingen;POINT(9.92606948055299 51.5368145215608)
Hamburg-Altona;POINT(9.93517839753523 53.5526942617927)
Bonn Hbf;POINT(7.09713990317421 50.732006584384)
Amsterdam Centraal;POINT(4.89942952657556 52.3791877289914)
Eglisau;POINT(8.51635228814083 47.572224426452)
Zweidlen;POINT(8.46791512801436 47.5704486474222)
Kaiserstuhl AG;POINT(8.41916355753841 47.5664483785178)
Rümikon AG;POINT(8.37420287756197 47.5652846065595)
Mellikon;POINT(8.35305653577085 47.5683394528041)
Weizen;POINT(8.47651200528458 47.7688349019464)
Siselen-Finsterhennen;POINT(7.18038678056515 47.0311498320424)
Brüttelen;POINT(7.14829895861194 47.0205989933927)
Ins Dorf;POINT(7.10680577563268 47.0055805072631)
Täuffelen;POINT(7.19853274930689 47.0665041168329)
Hagneck;POINT(7.18806737624544 47.0582797270401)
Lüscherz;POINT(7.17735047490441 47.0480280605334)
Nidau;POINT(7.2420471416757 47.1238620663682)
Nidau Beunden;POINT(7.24032237632995 47.1198216968796)
Ipsach;POINT(7.23548045694787 47.1173704306013)
Ipsach Herdi;POINT(7.22893173852573 47.1123697417658)
Sutz;POINT(7.21941857966558 47.1018716574375)
Lattrigen;POINT(7.21412750264138 47.09631300986)
Mörigen;POINT(7.21223205739162 47.085652725749)
Gerolfingen;POINT(7.20124566146531 47.0749780720829)
Les Breuleux-Eglise;POINT(7.00242153960346 47.2130081827438)
Les Breuleux;POINT(7.00485597402376 47.2105673151796)
Tramelan;POINT(7.10420964446121 47.2227888323375)
Tramelan-Dessous;POINT(7.11274363966154 47.2224837863092)
